2 1
31.05.2016 01:00:00.00 3600 2.7777777778e-04
65.0 -5.578715354204178e-05 -1.8746708519756794e-05 0.6
66.0 -1.5060941223055124e-05 -6.119313184171915e-06 0.6
67.0 -2.8507201932370663e-06 -2.222193870693445e-06 0.6
68.0 -4.598405212163925e-09 -5.384208634495735e-08 0.6
69.0 0.0 3.7159770727157593e-07 0.6
70.0 0.0 1.162756234407425e-06 0.6
71.0 0.0 1.8044374883174896e-06 0.6
72.0 0.0 1.1894344424945302e-06 0.6
73.0 0.0 5.995682386128465e-07 0.6
74.0 0.0 2.7690400656865677e-06 0.6
75.0 0.0 3.604546691349242e-06 0.6
76.0 0.0 1.0877793101826683e-06 0.6
77.0 -1.516230327069934e-06 -1.9073187331741792e-06 0.6
78.0 -4.356138379080221e-05 -7.990402082214132e-05 0.6
79.0 -8.657613943796605e-05 -0.00010021448542829603 0.6
80.0 -0.00016451299597974867 -0.00010313939128536731 0.6
81.0 -0.00018587164231576025 -8.399781654588878e-05 0.6
82.0 -0.00019760444411076605 -0.000107041239971295 0.6
83.0 -0.00012151093687862158 -7.826823275536299e-05 0.6
84.0 -0.00011070043547078967 -6.431300425902009e-05 0.6
85.0 -6.689131259918213e-05 -0.00022294744849205017 0.6
86.0 -7.594004273414612e-05 -0.00017000187654048204 0.6
87.0 -0.00011641974560916424 -0.0001120399683713913 0.6
88.0 -9.07224602997303e-05 -4.2614294216036797e-05 0.6
89.0 -4.1771912947297096e-05 -2.3820670321583748e-05 0.6
90.0 -1.548253931105137e-05 -2.672034315764904e-05 0.6
91.0 -1.3422686606645584e-06 -4.089903086423874e-06 0.6
92.0 -4.656612873077393e-10 -1.885928213596344e-08 0.6
93.0 -6.402842700481415e-09 -1.668231561779976e-07 0.6
94.0 0.0 3.862660378217697e-07 0.6
95.0 0.0 2.796296030282974e-07 0.6
96.0 -2.386523756392478e-10 1.9406399142662956e-06 0.6
97.0 -5.819594806055761e-12 2.1325005479522208e-06 0.6
98.0 0.0 8.478505151288118e-07 0.6
99.0 1.1636996921637888e-11 3.637575946291438e-07 0.6
100.0 0.0 -1.9024175799131626e-06 0.6
101.0 2.0955662205501824e-10 -3.461280212826989e-05 0.6
102.0 -1.319250031883712e-06 -0.00010838922503353388 0.6
103.0 -1.5908452041912824e-05 -0.00018666398682398722 0.6
104.0 -5.4465843277284876e-05 -0.00019559345309971832 0.6
105.0 -8.153728413162753e-05 -0.000175940636836458 0.6
106.0 -4.506611730903387e-05 -0.00010592280887067318 0.6
107.0 -5.302031058818102e-05 -0.00019387004431337118 0.6
108.0 -9.513698751106858e-05 -0.00015764631098136306 0.6
109.0 -0.00012328987941145897 -0.00010362314060330391 0.6
110.0 -0.00015064061153680086 -7.023802027106285e-05 0.6
111.0 -0.00013162370305508375 -4.228565376251936e-05 0.6
112.0 -0.00011587428161874413 -2.7618079911917448e-05 0.6
113.0 -6.199622293934226e-05 -1.5866535250097513e-05 0.6
114.0 -4.205561708658934e-06 -1.3055396266281605e-06 0.6
115.0 -6.350455805659294e-08 3.6961864680051804e-08 0.6
116.0 0.0 2.1816231310367584e-06 0.6
117.0 0.0 2.3494940251111984e-06 0.6
118.0 0.0 7.268507033586502e-06 0.6
119.0 0.0 3.4996774047613144e-06 0.6
120.0 -5.818508435478931e-12 2.163453152677613e-06 0.6
121.0 5.818508435478931e-12 2.832257543998202e-06 0.6
122.0 0.0 2.8520444175228477e-06 0.6
123.0 0.0 1.4586757970391773e-06 0.6
124.0 -2.3826757455935876e-07 -1.4644231782767747e-07 0.6
125.0 -1.0989001566485967e-06 -6.714221854053903e-07 0.6
126.0 -5.839885852765292e-05 -5.452695768326521e-05 0.6
127.0 -0.00011020655074389651 -9.52279006014578e-05 0.6
128.0 -0.00018045461911242455 -9.816854435484856e-05 0.6
129.0 -0.0002504863659851253 -7.225369336083531e-05 0.6
130.0 -0.0002623660257086158 -8.54075769893825e-05 0.6
131.0 -0.00026731955586001277 -0.00011868152068927884 0.6
132.0 -0.0002080907579511404 -0.00013934460002928972 0.6
133.0 -0.00016399577725678682 -0.00015847396571189165 0.6
134.0 -0.00017306453082710505 -0.00012985628563910723 0.6
135.0 -0.00017270829994231462 -8.81935702636838e-05 0.6
136.0 -0.00010347878560423851 -3.718794323503971e-05 0.6
137.0 -2.069631591439247e-05 -6.51718582957983e-05 0.6
138.0 -2.8673093765974045e-06 -2.0523089915513992e-05 0.6
139.0 0.0 7.166527211666107e-06 0.6
140.0 0.0 3.427267074584961e-06 0.6
141.0 0.0 3.84356826543808e-06 0.6
142.0 0.0 3.404216840863228e-06 0.6
143.0 0.0 4.417961463332176e-06 0.6
