2 1
02.01.1980 00:00:00.000 1 1.157407408e-05
0 0.00012060695603822599 5.1688695444954e-05 0.6
86400 0.00013239601168769043 5.674114786615305e-05 0.6
172800 0.00018322810138156088 7.85263291635261e-05 0.6
259200 0.0001768521035112846 7.57937586476934e-05 0.6
345600 0.00017043902616097916 7.304529692613392e-05 0.6
432000 0.00017028322377645927 7.29785244756254e-05 0.6
518400 0.00016106273476716121 6.902688632878338e-05 0.6
604800 0.00015200446181152708 6.514476934779731e-05 0.6
691200 0.00012836391656314352 5.501310709849008e-05 0.6
777600 0.00011190437971848344 4.795901987935005e-05 0.6
864000 0.00011483034374022309 4.921300446009561e-05 0.6
950400 0.00011314089712658899 4.848895591139529e-05 0.6
1036800 0.00012512594193174592 5.362540368503397e-05 0.6
1123200 0.00013137011740511266 5.630147888790543e-05 0.6
1209600 0.00014142976843693725 6.061275790154454e-05 0.6
1296000 0.00013955896225828666 5.9810983824980005e-05 0.6
1382400 0.00013893743495976133 5.9544614982754857e-05 0.6
1468800 0.00015441540841199913 6.617803217657106e-05 0.6
1555200 0.00017953021553264713 7.694152094256306e-05 0.6
1641600 0.00022201484942446515 9.514922118191364e-05 0.6
1728000 0.00022043215932500252 9.447092542500108e-05 0.6
1814400 0.0002084116643996047 8.931928474268772e-05 0.6
1900800 0.00020995238386635085 8.997959308557894e-05 0.6
1987200 0.00020165291016235347 8.642267578386578e-05 0.6
2073600 0.0001990677256006929 8.53147395431541e-05 0.6
2160000 0.00017566275580982427 7.52840382042104e-05 0.6
2246400 0.00020556189609543399 8.809795546947171e-05 0.6
2332800 0.0002572465500545799 0.00011024852145196282 0.6
2419200 0.00030938232995201295 0.00013259242712229126 0.6
2505600 0.0003510348764045093 0.00015044351845907542 0.6
2592000 0.0003721080253268692 0.00015947486799722967 0.6
2678400 0.0003994776239804397 0.000171204695991617 0.6
2764800 0.0004291515326725282 0.00018392208543108353 0.6
2851200 0.00047445922440276454 0.0002033396676011848 0.6
2937600 0.0004508174450854245 0.00019320747646518196 0.6
3024000 0.0004409548919935194 0.0001889806679972226 0.6
3110400 0.00044119018804104134 0.0001890815091604463 0.6
3196800 0.0004600893481939295 0.00019718114922596976 0.6
3283200 0.0004702740722152298 0.0002015460309493842 0.6
3369600 0.0004494223978586248 0.0001926095990822678 0.6
3456000 0.00044195323567857586 0.00018940852957653252 0.6
3542400 0.00042766102057056286 0.00018328329453024125 0.6
3628800 0.0004311529867950958 0.00018477985148361247 0.6
3715200 0.00044575242272681 0.0001910367525972043 0.6
3801600 0.0004970783420822868 0.00021303357517812294 0.6
3888000 0.0004996535169911495 0.0002141372215676355 0.6
3974400 0.0004554909756205239 0.00019521041812308167 0.6
4060800 0.0004614363212866299 0.00019775842340855567 0.6
4147200 0.00047610321489080976 0.0002040442349532042 0.6
4233600 0.0004717530155279028 0.00020217986379767264 0.6
4320000 0.0004810378218748529 0.0002061590665177941 0.6
4406400 0.0005089094709051105 0.00021810405895933305 0.6
4492800 0.0005274938328847362 0.0002260687855220298 0.6
4579200 0.0005269389605473745 0.00022583098309173196 0.6
4665600 0.0005359876145442416 0.00022970897766181784 0.6
4752000 0.0005104468041263125 0.00021876291605413395 0.6
4838400 0.0004607202043651731 0.00019745151615650276 0.6
4924800 0.000522151369979865 0.00022377915856279927 0.6
5011200 0.0006077808335374743 0.000260477500087489 0.6
5097600 0.0005838309023415963 0.00025021324386068414 0.6
5184000 0.0005478338009369631 0.0002347859146872699 0.6
5270400 0.0005346575444527431 0.00022913894762260418 0.6
5356800 0.0006171614952494048 0.00026449778367831634 0.6
5443200 0.000673011803108611 0.00028843362990369045 0.6
5529600 0.0007430219252770629 0.00031843796797588415 0.6
5616000 0.0006978191480584216 0.00029906534916789495 0.6
5702400 0.0006868073453033906 0.0002943460051300245 0.6
5788800 0.0006995194657687862 0.00029979405675805126 0.6
5875200 0.0007322487117657268 0.0003138208764710258 0.6
5961600 0.0007085712248016119 0.00030367338205783363 0.6
6048000 0.000770973613238171 0.00033041726281635896 0.6
6134400 0.0008025278578606232 0.0003439405105116956 0.6
6220800 0.0008364589209562921 0.0003584823946955538 0.6
6307200 0.0008252269607653925 0.0003536686974708825 0.6
6393600 0.0008656857858074044 0.00037100819391745906 0.6
6480000 0.0008806516959895934 0.00037742215542411144 0.6
6566400 0.0008646089542058872 0.00037054669465966597 0.6
6652800 0.000746880676919447 0.000320091718679763 0.6
6739200 0.0007812541850331211 0.0003348232221570519 0.6
6825600 0.0008948792022044974 0.00038351965808764175 0.6
