2 1
02.01.1980 00:00:00.000 1 1.157407408e-05
158 0.0018840032 0.0008074299 0.6
159 0.0018498523 0.0007927938 0.6
160 0.0018818350 0.0008065007 0.6
161 0.0020145538 0.0008633802 0.6
162 0.0021455928 0.0009195398 0.6
163 0.0022557027 0.0009667297 0.6
164 0.0019086061 0.0008179740 0.6
165 0.0018802605 0.0008058259 0.6
166 0.0018561840 0.0007955074 0.6
167 0.0017758572 0.0007610816 0.6
168 0.0017903382 0.0007672878 0.6
169 0.0017429257 0.0007469681 0.6
170 0.0017179366 0.0007362585 0.6
171 0.0017232970 0.0007385559 0.6
172 0.0017522022 0.0007509438 0.6
173 0.0017452583 0.0007479678 0.6
174 0.0017234191 0.0007386082 0.6
175 0.0017104327 0.0007330426 0.6
176 0.0016481687 0.0007063580 0.6
177 0.0015846815 0.0006791492 0.6
178 0.0016878219 0.0007233523 0.6
179 0.0016960302 0.0007268701 0.6
180 0.0013298589 0.0005699395 0.6
181 0.0013117553 0.0005621808 0.6
182 0.0013811029 0.0005919013 0.6
183 0.0014050037 0.0006021445 0.6
184 0.0014371976 0.0006159418 0.6
185 0.0014753833 0.0006323071 0.6
186 0.0014827679 0.0006354720 0.6
187 0.0014166026 0.0006071154 0.6
188 0.0013996232 0.0005998385 0.6
189 0.0013095444 0.0005612333 0.6
190 0.0012801188 0.0005486223 0.6
191 0.0013268523 0.0005686510 0.6
192 0.0012698158 0.0005442068 0.6
193 0.0013776491 0.0005904210 0.6
194 0.0014192502 0.0006082501 0.6
195 0.0013584130 0.0005821770 0.6
196 0.0013017041 0.0005578732 0.6
197 0.0013369597 0.0005729827 0.6
198 0.0014017036 0.0006007301 0.6
199 0.0014498243 0.0006213533 0.6
200 0.0012542858 0.0005375511 0.6
201 0.0012555011 0.0005380719 0.6
202 0.0013910230 0.0005961527 0.6
203 0.0015588587 0.0006680823 0.6
204 0.0016056802 0.0006881487 0.6
205 0.0016590409 0.0007110175 0.6
206 0.0015626872 0.0006697231 0.6
207 0.0015705899 0.0006731100 0.6
208 0.0016060492 0.0006883068 0.6
209 0.0014762169 0.0006326644 0.6
210 0.0014516132 0.0006221199 0.6
211 0.0023292742 0.0009982604 0.6
212 0.0025302939 0.0010844117 0.6
213 0.0025360635 0.0010868844 0.6
214 0.0023756530 0.0010181370 0.6
215 0.0022639754 0.0009702752 0.6
216 0.0021519671 0.0009222716 0.6
217 0.0022007417 0.0009431750 0.6
218 0.0021507028 0.0009217298 0.6
219 0.0021027053 0.0009011594 0.6
220 0.0020620995 0.0008837569 0.6
221 0.0021218401 0.0009093600 0.6
222 0.0020178765 0.0008648042 0.6
223 0.0018640184 0.0007988650 0.6
224 0.0019849982 0.0008507135 0.6
225 0.0021264636 0.0009113415 0.6
226 0.0020621516 0.0008837792 0.6
227 0.0020575260 0.0008817969 0.6
228 0.0020565269 0.0008813687 0.6
229 0.0019845280 0.0008505120 0.6
230 0.0018915323 0.0008106567 0.6
231 0.0019347888 0.0008291952 0.6
232 0.0016835255 0.0007215109 0.6
233 0.0015928605 0.0006826545 0.6
234 0.0015604259 0.0006687540 0.6
235 0.0015730646 0.0006741705 0.6
236 0.0017138537 0.0007345087 0.6
237 0.0018292982 0.0007839849 0.6
238 0.0018117087 0.0007764466 0.6
239 0.0018306487 0.0007845637 0.6
240 0.0017619411 0.0007551176 0.6
241 0.0015730368 0.0006741586 0.6
242 0.0016803165 0.0007201357 0.6
243 0.0016319202 0.0006993944 0.6
244 0.0017447499 0.0007477500 0.6
245 0.0019051419 0.0008164894 0.6
246 0.0018969039 0.0008129588 0.6
247 0.0016869421 0.0007229752 0.6
248 0.0016906217 0.0007245521 0.6
249 0.0017895934 0.0007669686 0.6
250 0.0016647018 0.0007134436 0.6
251 0.0015612717 0.0006691165 0.6
252 0.0015865004 0.0006799287 0.6
253 0.0016548961 0.0007092412 0.6
254 0.0015492085 0.0006639465 0.6
255 0.0014823009 0.0006352718 0.6
256 0.0015214706 0.0006520588 0.6
257 0.0015436846 0.0006615791 0.6
258 0.0015228045 0.0006526305 0.6
259 0.0015061429 0.0006454898 0.6
260 0.0015872749 0.0006802607 0.6
261 0.0016009648 0.0006861278 0.6
262 0.0015799501 0.0006771215 0.6
263 0.0015413616 0.0006605835 0.6
264 0.0014606424 0.0006259896 0.6
265 0.0014107122 0.0006045910 0.6
266 0.0013908710 0.0005960876 0.6
267 0.0013229950 0.0005669979 0.6
268 0.0012700977 0.0005443276 0.6
269 0.0012238960 0.0005245268 0.6
270 0.0011998381 0.0005142163 0.6
271 0.0012057830 0.0005167642 0.6
272 0.0008502727 0.0003644026 0.6
273 0.0008341628 0.0003574984 0.6
274 0.0007525524 0.0003225225 0.6
275 0.0007829629 0.0003355555 0.6
