08.06.2016 00:00:00.00 1 0.000003333
# Startzeit   [s] -> [s] [mm/interval] -> [m/s]
     0.000000000000      0.000000000000
 39000.000000000000      0.000000000000
 39300.000000000000      0.000032196230
 39600.000000000000      0.000285699180
 39900.000000000000      0.000597494252
 40200.000000000000      0.001480348777
 40500.000000000000      0.002582137667
 40800.000000000000      0.003315533902
 41100.000000000000      0.004979231737
 41400.000000000000      0.004282437533
 41700.000000000000      0.002417767439
 42000.000000000000      0.000628334852
 42300.000000000000      0.000032196230
 42600.000000000000      0.000092182891
 42900.000000000000      0.000413128470
 43200.000000000000      0.001237351965
 43500.000000000000      0.001199733212
 43800.000000000000      0.000504972454
 44100.000000000000      0.000000000000
 50100.000000000000      0.000000000000
 50400.000000000000      0.000004405800
 50700.000000000000      0.000006439246
 51000.000000000000      0.000096588691
 51300.000000000000      0.000730684973
 51600.000000000000      0.001631501605
 51900.000000000000      0.014675380661
 52200.000000000000      0.144302148404
 52500.000000000000      0.399828377147
 52800.000000000000      0.707579941545
 53100.000000000000      0.876508817022
 53400.000000000000      0.755878014923
 53700.000000000000      0.706288364350
 54000.000000000000      0.827073708355
 54300.000000000000      0.864577910810
 54600.000000000000      1.357813313378
 54900.000000000000      1.864331524922
 55200.000000000000      1.749504855869
 55500.000000000000      1.424760798955
 55800.000000000000      1.388228922653
 56100.000000000000      1.303256292838
 56400.000000000000      1.201791737159
 56700.000000000000      1.197814316545
 57000.000000000000      0.833567518545
 57300.000000000000      0.892199904021
 57600.000000000000      0.697526583919
 57900.000000000000      0.511579458941
 58200.000000000000      0.403396058368
 58500.000000000000      0.380567236574
 58800.000000000000      0.425074627473
 59100.000000000000      0.505985787567
 59400.000000000000      0.544623975143
 59700.000000000000      0.402216320710
 60000.000000000000      0.299858065461
 60300.000000000000      0.244855042404
 60600.000000000000      0.216568112311
 60900.000000000000      0.259578209049
 61200.000000000000      0.494170787784
 61500.000000000000      0.678422357605
 61800.000000000000      0.696039456989
 62100.000000000000      0.675131225056
 62400.000000000000      0.469817220306
 62700.000000000000      0.325954974080
 63000.000000000000      0.201035295202
 63300.000000000000      0.148559506767
 63600.000000000000      0.167840981802
 63900.000000000000      0.178737541753
 64200.000000000000      0.194703821794
 64500.000000000000      0.122827940634
 64800.000000000000      0.157414825720
 65100.000000000000      0.194890221022
 65400.000000000000      0.208265212888
 65700.000000000000      0.243566176471
 66000.000000000000      0.332184775182
 66300.000000000000      0.454061740847
 66600.000000000000      0.493393333550
 66900.000000000000      0.349430431741
 67200.000000000000      0.232978361422
 67500.000000000000      0.191975953822
 67800.000000000000      0.208584463929
 68100.000000000000      0.275007320406
 68400.000000000000      0.199156052078
 68700.000000000000      0.134525000542
 69000.000000000000      0.106403118493
 69300.000000000000      0.090550372527
 69600.000000000000      0.087705242495
 69900.000000000000      0.099437209895
 70200.000000000000      0.093810664476
 70500.000000000000      0.076101043293
 70800.000000000000      0.065839935255
 71100.000000000000      0.059595561123
 71400.000000000000      0.050609084895
 71700.000000000000      0.059177349037
 72000.000000000000      0.038450432717
 72300.000000000000      0.027194291710
 72600.000000000000      0.023175185450
 72900.000000000000      0.019929466532
 73200.000000000000      0.016282480913
 73500.000000000000      0.013283147883
 73800.000000000000      0.009413161006
 74100.000000000000      0.005884793077
 74400.000000000000      0.003933362615
 74700.000000000000      0.003861175278
 75000.000000000000      0.000772709526
 75300.000000000000      0.000000000000
 77100.000000000000      0.000000000000
 77400.000000000000      0.000508700438
 77700.000000000000      0.002354730609
 78000.000000000000      0.008918355783
 78300.000000000000      0.033797569083
 78600.000000000000      0.149743311318
 78900.000000000000      0.787594351900
 79200.000000000000      1.141179452976
 79500.000000000000      0.563834618471
 79800.000000000000      0.147454667708
 80100.000000000000      0.083533627776
 80400.000000000000      0.036952799649
 80700.000000000000      0.006226750933
 81000.000000000000      0.000158608798
 81300.000000000000      0.000000000000
139800.000000000000      0.000000000000
140100.000000000000      0.000767287003
140400.000000000000      0.001101111075
140700.000000000000      0.000000000000
172200.000000000000      0.000000000000
